Toyota Camry,Đen,25000,51F1-12345,Toyota,2019,Sedan rộng rãi,1
Honda Civic,Trắng,22000,52B1-67890,Honda,2020,Nhỏ gọn,1
Ford Ranger,Xanh dương,32000,60C1-11223,Ford,2021,Bán tải mạnh mẽ,1
VinFast Lux A2.0,Đỏ,35000,30E1-45678,VinFast,2022,Sedan cao cấp của Việt Nam,1
Hyundai Tucson,Bạc,29000,43A1-99887,Hyundai,2020,SUV gia đình,1
Honda Wave Alpha,Đỏ,18000,59X1-12345,Honda,2020,Xe số phổ thông,3
Yamaha Exciter,Xanh dương,45000,62M1-33456,Yamaha,2021,Xe côn tay thể thao,3
Honda SH 150i,Trắng,95000,29A1-99876,Honda,2023,Tay ga cao cấp,3
VinFast Klara,Đen,32000,30B1-11223,VinFast,2022,Xe máy điện thân thiện môi trường,3
Suzuki Raider,Vàng,46000,66B1-77889,Suzuki,2021,Xe thể thao nhỏ gọn,3
Isuzu NQR75,Trắng,45000,51D-33456,Isuzu,2021,Xe tải nhẹ chở hàng hóa nội thành,2
Hino 500,Xanh,78000,50H-99876,Hino,2020,Xe tải trung chuyên chở đường dài,2
Fuso Canter,Đen,52000,60C-33445,Fuso,2022,Dòng xe tải bền bỉ,2
Hyundai Mighty,Bạc,60000,43D-66778,Hyundai,2021,Xe tải 3.5 tấn phổ biến tại Việt Nam,2
Thaco Auman,Vàng,88000,30G-44556,Thaco,2023,Xe tải nặng,2
sadasds,ádasdsad,123123,30A-12345,123123,2000,22222,1
